trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
121,False,"{'a': 0.5, 'e': 0.8859803203984784}",20,-37,-300.45007384287237,"{0: 33, 1: 8, 2: 9, 3: 3, 4: 4}",0
122,False,"{'a': 0.5, 'e': 0.88509434007808}",25,-100,-488.98776352082155,"{0: 85, 1: 9, 2: 19, 3: 5, 4: 7}",0
123,False,"{'a': 0.5, 'e': 0.8842092457380019}",20,-73,-294.9685974479205,"{0: 65, 1: 8, 2: 14, 3: 1, 4: 5}",0
124,False,"{'a': 0.5, 'e': 0.8833250364922639}",30,-22,-193.39693289426046,"{0: 33, 1: 8, 2: 7, 3: 1, 4: 3}",0
125,False,"{'a': 0.5, 'e': 0.8824417114557717}",25,-48,-312.76750629928665,"{0: 47, 1: 7, 2: 13, 3: 1, 4: 5}",0
126,False,"{'a': 0.5, 'e': 0.8815592697443159}",30,-67,-449.76922681508256,"{0: 60, 1: 6, 2: 21, 3: 5, 4: 5}",0
127,False,"{'a': 0.5, 'e': 0.8806777104745716}",25,-58,-380.982773783622,"{0: 57, 1: 3, 2: 13, 3: 4, 4: 6}",0
128,False,"{'a': 0.5, 'e': 0.8797970327640969}",25,5,-40.26574433002044,"{0: 11, 1: 7, 2: 2, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.8789172357313328}",20,-28,-294.3375221521532,"{0: 29, 1: 3, 2: 8, 3: 4, 4: 4}",0
130,False,"{'a': 0.5, 'e': 0.8780383184956015}",30,-64,-318.14755384132957,"{0: 62, 1: 11, 2: 15, 3: 2, 4: 4}",0
131,False,"{'a': 0.5, 'e': 0.8771602801771059}",20,-22,-26.490899274540688,"{0: 36, 1: 1, 2: 4, 3: 0, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.8762831198969288}",30,-23,-184.32619815101555,"{0: 35, 1: 5, 2: 8, 3: 3, 4: 2}",0
133,False,"{'a': 0.5, 'e': 0.8754068367770318}",25,-30,-205.61654955185642,"{0: 35, 1: 8, 2: 7, 3: 2, 4: 3}",0
134,False,"{'a': 0.5, 'e': 0.8745314299402548}",20,-58,-284.3778942307269,"{0: 55, 1: 7, 2: 10, 3: 0, 4: 6}",0
135,False,"{'a': 0.5, 'e': 0.8736568985103146}",30,-22,-229.7209280084311,"{0: 30, 1: 5, 2: 13, 3: 2, 4: 2}",0
136,False,"{'a': 0.5, 'e': 0.8727832416118043}",25,-17,-137.0337877056303,"{0: 26, 1: 5, 2: 9, 3: 1, 4: 1}",0
137,False,"{'a': 0.5, 'e': 0.8719104583701925}",20,-21,-148.99225697497388,"{0: 27, 1: 4, 2: 7, 3: 1, 4: 2}",0
138,False,"{'a': 0.5, 'e': 0.8710385479118223}",30,-1,-37.25515874451373,"{0: 25, 1: 0, 2: 4, 3: 2, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.8701675093639105}",20,-8,-167.10910536348342,"{0: 16, 1: 1, 2: 7, 3: 2, 4: 2}",0
140,False,"{'a': 0.5, 'e': 0.8692973418545467}",20,-52,-230.6452265822093,"{0: 51, 1: 4, 2: 13, 3: 0, 4: 4}",0
